,Historical population data,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,Measure: Population,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,Time horizon: Historical,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,Combined unit of measure: Persons,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,Time period,1985,1986,1987,1988,1989,1990,1991,1992,1993,1994,1995,1996,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020,2021,2022,
,,"6,470,366","6,504,125","6,545,107","6,593,387","6,646,912","6,712,273","6,799,979","6,875,364","6,938,265","6,993,795","7,040,687","7,071,851","7,088,906","7,110,002","7,143,991","7,184,250","7,226,647","7,284,754","7,339,002","7,389,626","7,437,116","7,483,935","7,551,117","7,647,676","7,743,832","7,824,910","7,912,396","7,996,861","8,089,346","8,188,646","8,282,398","8,373,334","8,451,834","8,514,327","8,575,280","8,638,169","8,704,542","8,775,757",
,Reference area: Türkiye,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,"50,307,000","51,480,000","52,370,000","53,268,000","54,192,000","55,120,000","56,055,000","56,986,000","57,913,000","58,837,000","59,756,000","60,671,000","61,582,000","62,464,000","63,364,000","64,268,751","65,166,331","66,002,506","66,794,551","67,598,736","68,435,380","69,295,253","70,158,112","71,051,689","72,039,215","73,142,162","74,223,642","75,175,836","76,147,634","77,181,894","78,218,488","79,277,971","80,312,708","81,407,211","82,579,448","83,384,688","84,147,326","84,979,919",
,Reference area: United Kingdom,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,"56,553,955","56,683,835","56,803,958","56,916,448","57,076,451","57,237,493","57,438,658","57,584,530","57,713,889","57,862,145","58,024,799","58,164,374","58,314,249","58,474,943","58,684,427","58,886,065","59,113,016","59,365,677","59,636,662","59,950,364","60,413,276","60,827,067","61,319,075","61,823,772","62,260,486","62,759,456","63,285,145","63,705,030","64,105,654","64,596,752","65,110,034","65,648,054","66,040,229","66,435,550","66,796,807","67,081,234","67,026,292","67,299,048",
,Reference area: United States,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,"237,923,795","240,132,887","242,288,918","244,498,982","246,819,230","249,622,814","252,980,941","256,514,224","259,918,588","263,125,821","266,278,393","269,394,284","272,646,925","275,854,104","279,040,168","282,162,411","284,968,955","287,625,193","290,107,933","292,805,298","295,516,599","298,379,912","301,231,207","304,093,966","306,771,529","309,327,143","311,583,481","313,877,662","316,059,947","318,386,329","320,738,994","323,071,755","325,122,128","326,838,199","328,329,953","331,511,512","332,031,554","333,287,557",
,Reference area: Argentina,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,"30,305,336","30,757,601","31,214,665","31,673,154","32,129,676","32,580,854","33,028,546","33,475,005","33,917,440","34,353,066","34,779,096","35,195,575","35,604,362","36,005,387","36,398,577","36,783,859","37,156,654","37,537,783","37,927,463","38,325,927","38,733,406","39,127,239","39,529,440","39,940,234","40,359,828","40,788,453","41,261,490","41,733,271","42,202,935","42,669,500","43,131,966","43,590,368","44,044,811","44,494,502","44,938,712","45,376,763","45,808,747","46,234,830",
,Reference area: Brazil,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,"135,979,454","138,662,472","141,282,564","143,851,505","146,393,753","148,935,328","151,467,861","153,973,883","156,454,116","158,910,651","161,345,581","163,767,821","166,187,066","168,606,400","171,029,011","173,765,726","176,208,646","178,499,255","180,708,344","182,865,043","184,991,143","187,061,610","189,038,268","191,010,274","192,980,905","194,890,682","196,603,732","198,314,934","200,004,188","201,717,541","203,475,683","205,156,587","206,804,741","208,494,900","210,147,125","211,755,692","213,317,639","214,828,540",
,Reference area: Bulgaria,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
