IndicatorId,IndicatorName,IndicatorShortName,Source,SourceYear,Author,LocationId,Location,Iso2,Iso3,TimeId,Time,VariantId,Variant,SexId,Sex,AgeId,AgeStart,AgeEnd,Age,CategoryId,Category,EstimateTypeId,EstimateType,EstimateMethodId,EstimateMethod,Value
54,"Population density","Population density (persons per square km)","World Population Prospects",2024,"United Nations Population Division",76,"Brazil","BR","BRA",42,"1991",4,"Median",3,"Both sexes",188,0,-1,"Total",0,"Not applicable",1,"Model-based Estimates",2,"Interpolation",18.152873246918574
54,"Population density","Population density (persons per square km)","World Population Prospects",2024,"United Nations Population Division",76,"Brazil","BR","BRA",43,"1992",4,"Median",3,"Both sexes",188,0,-1,"Total",0,"Not applicable",1,"Model-based Estimates",2,"Interpolation",18.45806345670209
54,"Population density","Population density (persons per square km)","World Population Prospects",2024,"United Nations Population Division",76,"Brazil","BR","BRA",44,"1993",4,"Median",3,"Both sexes",188,0,-1,"Total",0,"Not applicable",1,"Model-based Estimates",2,"Interpolation",18.75950594270974
54,"Population density","Population density (persons per square km)","World Population Prospects",2024,"United Nations Population Division",76,"Brazil","BR","BRA",45,"1994",4,"Median",3,"Both sexes",188,0,-1,"Total",0,"Not applicable",1,"Model-based Estimates",2,"Interpolation",19.0550775651042
54,"Population density","Population density (persons per square km)","World Population Prospects",2024,"United Nations Population Division",76,"Brazil","BR","BRA",46,"1995",4,"Median",3,"Both sexes",188,0,-1,"Total",0,"Not applicable",1,"Model-based Estimates",2,"Interpolation",19.350605936248975
54,"Population density","Population density (persons per square km)","World Population Prospects",2024,"United Nations Population Division",76,"Brazil","BR","BRA",47,"1996",4,"Median",3,"Both sexes",188,0,-1,"Total",0,"Not applicable",1,"Model-based Estimates",2,"Interpolation",19.645824190549572
54,"Population density","Population density (persons per square km)","World Population Prospects",2024,"United Nations Population Division",76,"Brazil","BR","BRA",48,"1997",4,"Median",3,"Both sexes",188,0,-1,"Total",0,"Not applicable",1,"Model-based Estimates",2,"Interpolation",19.94004156427148
54,"Population density","Population density (persons per square km)","World Population Prospects",2024,"United Nations Population Division",76,"Brazil","BR","BRA",49,"1998",4,"Median",3,"Both sexes",188,0,-1,"Total",0,"Not applicable",1,"Model-based Estimates",2,"Interpolation",20.23891140851912
54,"Population density","Population density (persons per square km)","World Population Prospects",2024,"United Nations Population Division",76,"Brazil","BR","BRA",50,"1999",4,"Median",3,"Both sexes",188,0,-1,"Total",0,"Not applicable",1,"Model-based Estimates",2,"Interpolation",20.535854029724316
54,"Population density","Population density (persons per square km)","World Population Prospects",2024,"United Nations Population Division",76,"Brazil","BR","BRA",51,"2000",4,"Median",3,"Both sexes",188,0,-1,"Total",0,"Not applicable",1,"Model-based Estimates",2,"Interpolation",20.820216160533324
54,"Population density","Population density (persons per square km)","World Population Prospects",2024,"United Nations Population Division",76,"Brazil","BR","BRA",52,"2001",4,"Median",3,"Both sexes",188,0,-1,"Total",0,"Not applicable",1,"Model-based Estimates",2,"Interpolation",21.093353664810593
54,"Population density","Population density (persons per square km)","World Population Prospects",2024,"United Nations Population Division",76,"Brazil","BR","BRA",53,"2002",4,"Median",3,"Both sexes",188,0,-1,"Total",0,"Not applicable",1,"Model-based Estimates",2,"Interpolation",21.35684296984736
54,"Population density","Population density (persons per square km)","World Population Prospects",2024,"United Nations Population Division",76,"Brazil","BR","BRA",54,"2003",4,"Median",3,"Both sexes",188,0,-1,"Total",0,"Not applicable",1,"Model-based Estimates",2,"Interpolation",21.610392802704908
54,"Population density","Population density (persons per square km)","World Population Prospects",2024,"United Nations Population Division",76,"Brazil","BR","BRA",55,"2004",4,"Median",3,"Both sexes",188,0,-1,"Total",0,"Not applicable",1,"Model-based Estimates",2,"Interpolation",21.85595634913988
54,"Population density","Population density (persons per square km)","World Population Prospects",2024,"United Nations Population Division",76,"Brazil","BR","BRA",56,"2005",4,"Median",3,"Both sexes",188,0,-1,"Total",0,"Not applicable",1,"Model-based Estimates",2,"Interpolation",22.096794442304148
54,"Population density","Population density (persons per square km)","World Population Prospects",2024,"United Nations Population Division",76,"Brazil","BR","BRA",57,"2006",4,"Median",3,"Both sexes",188,0,-1,"Total",0,"Not applicable",1,"Model-based Estimates",2,"Interpolation",22.33189507474151
54,"Population density","Population density (persons per square km)","World Population Prospects",2024,"United Nations Population Division",76,"Brazil","BR","BRA",58,"2007",4,"Median",3,"Both sexes",188,0,-1,"Total",0,"Not applicable",1,"Model-based Estimates",2,"Interpolation",22.559124398490574
54,"Population density","Population density (persons per square km)","World Population Prospects",2024,"United Nations Population Division",76,"Brazil","BR","BRA",59,"2008",4,"Median",3,"Both sexes",188,0,-1,"Total",0,"Not applicable",1,"Model-based Estimates",2,"Interpolation",22.776275762310753
54,"Population density","Population density (persons per square km)","World Population Prospects",2024,"United Nations Population Division",76,"Brazil","BR","BRA",60,"2009",4,"Median",3,"Both sexes",188,0,-1,"Total",0,"Not applicable",1,"Model-based Estimates",2,"Interpolation",22.98118367244387
54,"Population density","Population density (persons per square km)","World Population Prospects",2024,"United Nations Population Division",76,"Brazil","BR","BRA",61,"2010",4,"Median",3,"Both sexes",188,0,-1,"Total",0,"Not applicable",1,"Model-based Estimates",2,"Interpolation",23.175243475222956
54,"Population density","Population density (persons per square km)","World Population Prospects",2024,"United Nations Population Division",76,"Brazil","BR","BRA",62,"2011",4,"Median",3,"Both sexes",188,0,-1,"Total",0,"Not applicable",1,"Model-based Estimates",2,"Interpolation",23.364616350049175
